setEntuziasm,2020-06-04 11:31:49,Thread-2
setEntuziasm,2020-06-04 11:31:49,Thread-3
adaugaMemrbu,2020-06-04 11:31:49,Thread-1
adaugaMembru,2020-06-04 11:31:49,Thread-1
afisareActivitate,2020-06-04 11:31:49,Thread-2
afisareActivitate,2020-06-04 11:31:49,Thread-3
adaugaObiectiv,2020-06-04 11:31:49,Thread-0
adaugaObiectiv,2020-06-04 11:31:49,Thread-0
adaugaObiectiv,2020-06-04 11:31:49,Thread-0
setLocatie,2020-06-04 11:31:49,Thread-0
afisareActivitate,2020-06-04 11:31:49,Thread-0
adaugaObiectiv,2020-06-04 11:32:36,Thread-3
esteExpirat,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
adaugaPlanificare,2020-06-04 11:32:36,Thread-3
listaNumarMaximPlanificari,2020-06-04 11:32:36,Thread-3
listaPlanificariInInterval,2020-06-04 11:32:36,Thread-3
stergePlanificariInInterval,2020-06-04 11:32:36,Thread-3
setRezultat,2020-06-04 11:32:36,Thread-3
setRezultat,2020-06-04 11:32:36,Thread-3
setRezultat,2020-06-04 11:32:36,Thread-3
updateStatus,2020-06-04 11:32:36,Thread-3
